nom,directeur,date_de_sortie,note,f_genre
The Dark Knight,Christopher Nolan,2008-07-18,9.0,1
Inception,Christopher Nolan,2010-07-16,8.8,1
Pulp Fiction,Quentin Tarantino,1994-10-14,8.9,2
The Shawshank Redemption,Frank Darabont,1994-10-14,9.3,2
Forrest Gump,Robert Zemeckis,1994-07-06,8.8,3
The Godfather,Francis Ford Coppola,1972-03-24,9.2,4
The Godfather: Part II,Francis Ford Coppola,1974-12-20,9.0,4
The Dark Knight Rises,Christopher Nolan,2012-07-20,8.4,1
Interstellar,Christopher Nolan,2014-11-07,8.6,1
Schindler's List,Steven Spielberg,1993-12-15,8.9,5
The Lord of the Rings: The Return of the King,Peter Jackson,2003-12-17,8.9,8
Matrix,,,8.7,1
Matrix Reloaded,Lana Wachowski,,6.3,1
Matrix Revolutions,,2003-10-27,6.0,1
Fight Club,David Fincher,1999-10-15,8.8,6
The Social Network,David Fincher,2010-10-01,,2
Gladiator,,,8.5,1
The Silence of the Lambs,Jonathan Demme,1991-02-14,8.6,6
Titanic,James Cameron,1997-12-19,,5
Avatar,James Cameron,2009-12-18,7.8,7
The Pianist,,,8.5,2
Saving Private Ryan,Steven Spielberg,1998-07-24,8.6,1
The Departed,Martin Scorsese,2006-10-06,8.5,6
The Wolf of Wall Street,Martin Scorsese,2013-12-25,8.2,2
Django Unchained,Quentin Tarantino,2012-12-25,8.4,2
The Truman Show,Peter Weir,1998-06-05,8.1,3
Alien,Ridley Scott,1979-05-25,8.5,6
Blade Runner,Ridley Scott,1982-06-25,8.1,7
Goodfellas,Martin Scorsese,1990-09-19,,2
Braveheart,Mel Gibson,1995-05-24,,1
The Grand Budapest Hotel,Wes Anderson,2014-03-28,8.1,3
Inglourious Basterds,Quentin Tarantino,2009-08-21,8.3,6
The Lion King,Roger Allers,1994-06-24,,8
The Prestige,,,8.5,1
Memento,Christopher Nolan,2000-09-05,,6
The Avengers,Joss Whedon,2012-05-04,8.0,1
Iron Man,Jon Favreau,2008-05-02,,1
The Usual Suspects,Bryan Singer,1995-08-16,8.5,6
Toy Story,John Lasseter,1995-11-22,8.3,8
Up,Pete Docter,2009-05-29,,8
WALL-E,Andrew Stanton,2008-06-27,,8
Finding Nemo,Andrew Stanton,2003-05-30,,8
Shrek,Andrew Adamson,2001-05-18,7.9,8
Spirited Away,Hayao Miyazaki,2001-07-20,,8
The Sixth Sense,M. Night Shyamalan,1999-08-06,,4
Se7en,David Fincher,1995-09-22,8.6,6
City of God,Fernando Meirelles,2002-08-30,,2
Pan's Labyrinth,Guillermo del Toro,2006-10-11,,8
Life of Pi,Ang Lee,2012-11-21,7.9,8
The Revenant,Alejandro G. Iñárritu,2015-12-25,,1
Mad Max: Fury Road,George Miller,2015-05-15,,1
Jurassic Park,Steven Spielberg,1993-06-11,,1
The Shining,Stanley Kubrick,1980-05-23,8.4,4
Indiana Jones and the Last Crusade,Steven Spielberg,1989-05-24,8.2,1
The Big Lebowski,Joel Coen,1998-03-06,8.1,3
No Country for Old Men,Joel Coen,2007-11-09,8.1,3
Fargo,Joel Coen,1996-03-08,,3
The Incredibles,Brad Bird,2004-11-05,8.0,8
Ratatouille,Brad Bird,2007-06-29,8.0,8
The Iron Giant,Brad Bird,1999-08-06,,8
Casino,Martin Scorsese,1995-11-22,,2
Heat,Michael Mann,1995-12-15,,1
A Beautiful Mind,Ron Howard,2001-12-13,8.2,2
Whiplash,Damien Chazelle,2014-10-10,8.5,2
Black Swan,Darren Aronofsky,2010-12-03,,2
The Great Gatsby,Baz Luhrmann,2013-05-10,,5
La La Land,Damien Chazelle,2016-12-09,,5
Slumdog Millionaire,Danny Boyle,2008-11-12,8.0,2
Trainspotting,Danny Boyle,1996-02-23,,2
12 Years a Slave,Steve McQueen,2013-10-18,,2
Dunkirk,Christopher Nolan,2017-07-21,7.9,1
The Hateful Eight,Quentin Tarantino,2015-12-25,,6
Kill Bill: Vol. 1,Quentin Tarantino,2003-10-10,8.1,1
Kill Bill: Vol. 2,Quentin Tarantino,2004-04-16,,1
Reservoir Dogs,Quentin Tarantino,1992-10-23,8.3,6
The Green Mile,Frank Darabont,1999-12-10,,2
The King's Speech,Tom Hooper,2010-12-25,8.0,2
Gone Girl,David Fincher,2014-10-03,,6
The Pursuit of Happyness,Gabriele Muccino,2006-12-15,8.0,2
Requiem for a Dream,Darren Aronofsky,2000-10-27,,4
A Clockwork Orange,Stanley Kubrick,1971-12-19,,4
